Property1,Property2,Property 3,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25
,,,0,9.4,23.5,0,1290.62,70.5,1102.62,1541.6,1.9599,1.21166,1.11766,0.5123,12.30084,1.65816,6.87328,0.12314,0.89112,1501.41876,14.93096,117.7632,0.6627,166.991,42.41374,1015.2,28.2
,,,0,9.4,23.5,0,1290.62,70.5,1102.62,1428.8,1.9599,1.21166,1.11766,0.5123,12.30084,1.65816,6.87328,0.12314,0.89112,1501.41876,14.93096,117.7632,0.6627,166.991,42.41374,601.6,39.48
,,,0,9.4,23.5,0,1290.62,70.5,1102.62,1372.4,1.9599,1.21166,1.11766,0.5123,12.30084,1.65816,6.87328,0.12314,0.89112,1501.41876,14.93096,117.7632,0.6627,166.991,42.41374,413.6,59.22
,,,0,18.8,42.3,0,1290.62,70.5,1196.62,963.5,1.9599,1.21166,1.11766,0.5123,12.30084,1.65816,6.87328,0.12314,0.89112,1501.41876,14.93096,117.7632,0.6627,166.991,42.41374,300.8,77.08
,,,0,18.8,42.3,0,1290.62,70.5,1149.62,601.6,1.9599,1.21166,1.11766,0.5123,12.30084,1.65816,6.87328,0.12314,0.89112,1501.41876,14.93096,117.7632,0.6627,166.991,42.41374,355.978,50.76
,,,0,18.8,42.3,0,1290.62,70.5,1102.62,164.5,1.9599,1.21166,1.11766,0.5123,12.30084,1.65816,6.87328,0.12314,0.89112,1501.41876,14.93096,117.7632,0.6627,166.991,42.41374,489.646,37.6
,,,0,18.8,42.3,0,1290.62,70.5,1008.62,1292.5,1.98528,1.2032,1.1139,0.49256,12.36006,1.67696,6.94096,0.10622,0.78396,1528.84232,14.88208,117.171,0.68714,172.9835,50.98372,605.172,30.08
,,,0,9.4,23.5,0,1290.62,70.5,1102.62,1085.7,1.98528,1.2032,1.1139,0.49256,12.36006,1.67696,6.94096,0.10622,0.78396,1528.84232,14.88208,117.171,0.68714,172.9835,50.98372,255.68,44.18
,,,0,9.4,14.1,0,1290.62,70.5,1102.62,1085.7,1.98528,1.2032,1.1139,0.49256,12.36006,1.67696,6.94096,0.10622,0.78396,1528.84232,14.88208,117.171,0.68714,172.9835,50.98372,698.42,46.06
,,,0,9.4,4.7,0,1290.62,70.5,1102.62,1005.8,1.98528,1.2032,1.1139,0.49256,12.36006,1.67696,6.94096,0.10622,0.78396,1528.84232,14.88208,117.171,0.68714,172.9835,50.98372,689.02,17.86
401.38,65.894,0,0,9.4,0,0,1290.62,70.5,1102.62,568.7,1.98528,1.2032,1.1139,0.49256,12.36006,1.67696,6.94096,0.10622,0.78396,1528.84232,14.88208,117.171,0.68714,172.9835,50.98372,758.58,13.16
