,Company1,Company2,Company3,Company4,Company5,Company6,Company7,Company8,Company9,Company10,Company11,Company12,Company13,Company14,Company15,Company16,Company17,Company18,Company19,Company20,Company21,Company22,Company23,Company24,Company25
Property,?,?,?,?,26.58,29.06,57.22,43.32,181.3,124.43,24.29,44.67,17.63,42.33,44.65,46.2,61.35,4.25,135.67,59.86,51.05,83.31,92.09,42.36,105.15
,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values,Values
1,465.61,34.6,95.12,58.74,10.95,37.4,89.99,84.86,102.22,43.97,25.12,29.26,165.94,127.49,15.84,48.77,50.95,384.46,35.37,95.5,59.5,8.55,34.99,88.26,103.06
2,379.38,35.64,95.38,59.23,8.48,35.08,87.08,101,90.1,49.74,26.43,25.76,158.53,113.15,16.74,44,53.31,462.06,34.87,94.15,58.8,8.13,44.22,85.21,106.69
3,384.46,35.37,95.5,59.5,8.55,34.99,88.26,103.06,89.46,48.81,26.47,24.93,158,111.8,16.91,43.54,53.48,451.49,34.93,94.07,58.8,8.17,45.05,85.12,106.01
4,381.13,35.05,94.93,59.28,8.33,33.64,88.34,102.17,89.61,48.56,26.27,24.91,156.65,109.38,16.42,43.25,53.34,452.21,34.83,93.65,58.05,8.2,44.75,84.61,105.51
5,387.27,35.15,95.22,59.72,8.54,33.63,88.36,102.31,89.33,48.85,26.47,25.2,157.95,108.7,16.29,44,53.9,448.6,34.75,93.75,57.39,8.17,44.85,85.51,104.33
6,383,35.06,95.56,58.24,8.31,32.67,88.41,101.86,88.11,48.65,26.41,25.04,156.25,109.02,16.27,42.5,53.57,451.35,34.58,93.43,56.55,8.22,49.54,86.9,104.59
7,383.44,34.71,94.4,59.39,8.23,32.43,87.79,101.26,88.17,48.92,26.29,25.3,156.15,108.75,16.47,43.14,53.86,449.22,34.69,93.73,56.7,8.18,49.7,87.07,104.61
8,378,34.9,94.74,59.6,7.94,32.62,85.04,99.51,87.6,47.86,25.89,25.1,155.69,108.6,16.37,42.59,53.97,450.2,34.3,93.07,55.87,8.17,48.79,85.47,102.01
9,385.61,34.94,95,59.99,8.19,32.43,85.45,99.45,86.33,47.8,25.9,24.97,155.68,109.1,16.68,43.32,53.59,435.3,34.75,93.82,56.21,8.06,49.09,85.51,102.66
10,386.92,34.97,93.93,58.87,8.03,31.91,84.74,99.75,84.85,47.3,25.73,24.6,153.92,109.36,16.85,42.83,53.28,421,35,93.39,55.88,8.08,47.85,84.86,100.76
11,393.23,34.97,93.78,57.95,8.02,31.3,85.5,101.61,86.03,46.89,25.49,24.45,153.14,108.22,16.78,41.44,53.42,421.3,35.36,94,56.72,8.1,47.3,84.92,101.11
12,384.4,34.76,93.9,57.95,8.04,31.96,86.12,101.35,86.68,46.94,25.86,24.59,153.83,108.01,16.43,41.1,53.4,427.2,35.37,94.3,56.95,8.13,47.55,84.99,100.36
13,377.51,34.27,92.57,55.71,8,32.11,84.78,99.63,84.85,46.32,25.42,24,150.49,106.96,16.17,39.91,52.62,421.76,35.78,94.3,56.58,8.13,47.39,85.22,100.52
14,386.22,34.4,92.65,56.02,8.06,32.15,85.58,101.53,85.07,46.44,25.88,24.01,151.39,106.65,16.58,40.07,52.48,430.26,36.05,95.22,57.76,8.25,48.26,85,102.24
15,379.75,34.31,92.48,56.6,8.02,30.75,84.93,99.44,85.2,45.86,25.58,23.82,149.83,105.4,16.5,40.11,51.64,424.75,36.45,96.19,58.58,8.24,48.39,85.96,105.08
16,383.9,33.88,91.52,56.91,8.33,29.48,85.08,98.68,84.29,45.71,25.66,23.62,148.09,104.85,16.56,39.6,51.48,423.21,37.43,95.89,58.82,8.25,48.55,85.83,105
17,382.58,33.62,90.7,56.8,8.36,29.3,84.96,99.51,83.68,46.83,25.44,23.6,145,105.18,16.33,38.6,51.44,422.21,35.55,95.5,58.17,8.3,48.2,86,104.78
18,380.52,34.04,91.84,56.26,8.48,27.41,85.03,97.6,83.92,44.62,25.42,23.61,141.92,104.08,16.35,37.43,51.25,425,35.37,95.36,58.13,8.25,48.59,86.89,104.14
19,368.99,34.78,90.7,55.23,8.37,29.5,83.54,95.53,83.08,45,25.34,23.67,140.9,102.84,16.41,38.05,51.27,429.47,35.43,95.48,58.32,8.23,49.07,87.19,105.6
20,362.26,34.27,89.95,54.57,8.38,33.1,82.65,95.04,81.76,44.36,25.27,23.1,138.4,103.02,15.85,36.14,51.04,430.41,35.9,95.51,58.3,8.3,50.27,88.48,109.79
21,356,34.08,90.96,54.22,8.31,33.08,82.71,94.53,80.06,43.06,24.91,22.9,137.15,98.32,15.54,34.19,50.03,442.98,36.03,95.39,58.13,8.26,50.22,88.21,110.84
22,359.81,33.76,90.41,53.85,8.28,33.47,84.77,94.2,79.87,43.2,25,22.98,135.75,97.5,14.86,33.88,50.49,451.69,36.07,98.52,57.89,8.27,49.17,87.4,110
23,332.73,33.63,89.39,54.01,7.95,32.31,83.68,90.27,77.7,42.53,23.99,22.65,133.42,95.55,14.07,30.63,48.98,440.81,36.18,98.64,57.92,8.3,48.59,87.77,109.43
24,444.47,33.68,90.49,55.37,7.76,32.04,83.58,91.43,79.69,43,23.86,22.79,132.56,97.97,14,30.22,50.9,443.28,36.27,98.96,57.87,8.31,49.09,88.83,110.4
25,445.51,33.88,90.81,56.57,7.67,31.41,81.95,92.51,80.66,43.87,24.18,23.06,133.65,100.39,14.65,29.29,51.15,454.07,36.45,99.65,57.94,8.29,49.37,88.59,110.18
26,451.25,34.17,92.13,58.55,7.75,30.79,81.57,93.29,82.52,43.82,24.24,23.24,134.26,101.33,14.89,31.07,50.14,450.69,35.95,100.32,58.13,8.35,49.33,88.35,110.25
27,459.8,34.76,92.76,59.31,7.8,30.72,80.97,93.24,82.19,45.6,24.79,23.91,139.33,100.69,15.23,31.55,50.93,443.3,35.86,100.69,58.62,8.26,49.34,89.19,110.43
28,466.63,35.1,93.77,60,7.98,32.5,81.36,96.21,82.53,46.5,25.23,24.51,141.15,101.54,16.35,33.5,52.48,441.46,35.72,100.66,58.65,8.24,48.8,87.94,109.5
29,456.65,34.92,93.08,58.66,7.95,31.82,79.79,94.58,81.29,45.48,24.95,24.57,138.25,98.76,15.99,34.53,51.21,434.39,35.38,100.22,58.28,8.26,48.88,88.37,108.14
30,461.1,35.53,93.51,59.32,8.05,33.34,81.17,97.09,81.02,45.86,25.1,25.01,138.82,99.43,15.94,34.75,51.99,446.18,35.7,100.3,58.45,8.39,49.47,90.09,109.79
31,462,35.56,94.36,60.17,8.19,33.79,82.49,97.81,81.56,46.12,25.6,25.35,140.55,99.95,15.76,36.31,52.57,459.65,35.54,99.79,58.66,8.49,50.92,90.75,110.21
32,453.19,35.26,95.29,59.17,8.14,34.99,82.81,98.04,80.43,45.98,25.29,25.21,139.33,99.44,15.46,34.66,51.71,472.1,35.9,100.75,58.91,8.55,52.4,90.97,110.18
33,438.9,35.04,94.03,58.78,8.09,34.45,81.51,97.65,79.23,45.83,25.19,25.05,138.57,99.27,15.72,34.47,50.94,470.16,35.85,101.32,59.39,8.53,52.16,91.05,109.9
34,448.69,35.09,94.37,59.09,8.24,40.88,81.81,98.64,79.45,46.27,25.43,25.2,141.16,100.59,16.13,34.72,51.68,473.48,35.48,101.02,58.47,8.72,50.3,90.27,109.32
35,452.3,35.26,96.23,59.4,8.27,41.38,82.34,100.03,80,46.37,25.36,24.9,142.5,100.81,16.23,35.05,52.08,456.23,35.23,100.43,57.7,8.53,50.38,90.81,109.08
36,444.07,35.14,94.26,59.03,8.18,40.94,82.2,99.35,79.74,45.98,25.36,24.73,140.94,98.65,15.93,35.35,51.75,442.86,35.4,101.27,57.61,8.58,48.8,90.88,108.68
37,445,35.2,94.05,59.72,8.11,41.29,82.4,99.44,79.62,45.93,25.58,24.5,142.52,98.53,15.7,35.25,51.99,438.32,35.17,101.25,58.37,8.57,48.37,90.27,108.34
38,449.9,35.42,94.94,60.28,8.14,42.25,83.77,101,80.58,46.88,25.88,24.96,144.41,100.51,15.88,35.88,53.23,440.79,35.31,101.61,58.76,8.59,48.6,90.36,108.55
39,444.46,35.33,93.7,60.31,8.17,42.16,83.32,100.04,80.35,46.63,26.01,24.73,144.17,102.16,15.77,35.47,52.9,435,35.22,101.09,57.73,8.51,47.73,90.3,107.48
40,441.23,35.46,93.7,60.15,8.23,41.22,83.69,100.86,80.56,46.85,25.99,24.87,145.23,100.6,15.65,35.04,52.74,438.05,35.39,101.84,58.38,8.59,48.63,91.24,108.56
41,456.27,35.46,94.12,60.37,8.39,42.07,83.38,102.1,81.23,47.3,26.19,25.19,146.92,101.8,16.17,37,53.44,439.36,35.57,101.64,58.81,8.6,48.77,91.34,109.25
42,461,35.35,93.95,60.75,8.36,43.35,84.46,104.85,81.67,46.81,26.35,25.21,147.42,102.29,16.28,38.06,53.98,441.2,35.63,102.2,58.61,8.62,49.58,91.88,108.05
43,457.47,35.12,93.43,60.13,8.2,42.53,83.6,104.3,81.94,46.59,26.19,25.17,145.7,101.93,16.33,37.7,52.7,449.43,35.25,101.04,58.42,8.58,50.78,91.01,106.99
44,456.91,35.02,93.68,59.53,8.08,41.62,83.1,105.18,81.9,46.26,26.32,25.14,144.92,101.27,16.1,37.92,52.32,443.67,35.02,101.74,58.03,8.4,50.52,90.42,106.63
45,448.4,34.61,93.27,59.51,7.98,40.85,82.4,104.21,81.16,46.39,25.92,25,143.8,99.8,16.07,37,52.12,438.04,35.02,100.91,57.95,8.32,48.73,90.36,106.51
46,477.54,34.61,93.26,59.65,7.89,41.5,81.68,104.32,81.05,46.54,25.83,24.95,144.17,102.81,16.72,37.6,52.37,426.53,34.97,100.42,58.06,8.25,49.5,90.32,106.5
47,483.65,34.83,92.94,59.88,7.98,43.11,81.86,104.97,81.36,46.91,25.97,25.16,144.45,101.21,16.98,38.09,52.2,423,34.92,99.41,58.11,8.22,47.57,90.46,106.55
48,482.57,34.61,92.94,60.21,7.97,42.41,81.73,105.66,80.76,46.74,25.91,24.92,143.99,100.41,17.27,38.73,51.61,429.07,34.84,100.41,58.28,8.19,47.78,91.24,108.47
49,480.2,34.73,90.84,60.67,8.09,43.39,82.24,105.61,80.78,46.82,25.99,24.84,144.63,98.01,17.05,37.93,51.24,425.23,34.95,100.74,58.52,8.22,46.91,92.01,108.93
50,486.3,35.04,92.6,60.84,8,43.79,82.6,107.82,81.5,46.47,26.07,24.88,144.7,99.08,17.11,37.63,51.64,425.52,34.92,101.61,57.92,8.28,47.92,92.69,108.5
51,474.4,35.12,92.8,61.22,7.92,44.38,82.79,108.23,81.72,46.02,26.14,24.93,144.41,99.3,17.28,37.96,52.16,429.5,35.05,101.59,57.49,8.38,47.57,92.45,107.74
52,473.23,34.95,93.1,60.42,7.89,44.34,83.12,109,80.47,45.11,25.9,24.86,143.64,98.8,17.11,38.51,52.31,430.01,35.07,102.41,58.2,8.37,47.34,91.35,107.08
53,479.11,34.98,93.02,60.57,7.93,44.65,83.31,108.3,80.43,44.74,25.99,25.08,144.21,98.85,16.98,39.37,52.25,423.75,35.07,102.34,57.97,8.27,47.28,91.2,104.8
54,480.52,34.95,93.27,60.12,8.09,45.21,84.17,109.45,79.89,44.53,25.98,24.94,144.47,103.1,16.68,39.73,52.24,416.76,35.2,101.36,57.78,8.21,47.16,90.72,104.42
55,478.5,34.93,93.24,59.73,8.2,45.03,84.01,109.03,79.47,45.43,25.89,24.94,143.3,103.06,16.64,39,51.78,419.99,35.43,101.64,57.52,8.27,47.68,90.71,103.42
56,476.85,34.73,94.2,60.42,8.14,45.64,84.08,108.9,79.5,45.09,26.03,24.9,144.06,102.86,16.63,39.1,51.53,419.48,35.5,101.39,57.91,8.18,48.14,91.29,102.42
57,472.65,34.66,93.65,59.89,8.07,45.25,83.58,108.02,79.31,44.75,26.03,24.7,143.32,101.59,16.62,38.71,51.52,415.18,35.29,101.25,57.52,8.22,48.77,90.86,102.9
58,479.4,34.59,94.23,60.4,8.24,45.46,84.15,108.13,79.48,44.9,26.05,24.79,144.43,101.02,16.61,39.36,52.12,403.4,35.37,101.27,56.91,8.25,48.87,90.95,103.28
59,478.5,34.6,94.39,59.67,8.32,45.57,84.97,108.05,79.17,45.31,26.22,24.7,145,101.42,16.47,39.55,51.52,397.2,35.29,101.84,56.71,8.36,48.73,91.19,103.53
60,481.55,34.52,94.85,59.34,8.28,45.46,84.94,107.96,79.44,45.4,26.15,24.7,144.66,101.79,16.48,40.23,51.28,402,35.29,102.2,56.93,8.27,48.86,90.28,104.2
61,470.94,34.56,94.53,59.04,8.17,45.1,85.67,107.58,78.91,45.35,26.34,24.87,144.5,100.29,16.3,39.6,50.94,391.64,35.36,102.52,56.63,8.33,47.65,90.13,103.15
62,471.28,34.53,94.31,59.4,8.2,44.55,85.86,108.17,79.79,44.84,26.42,24.75,144.78,100.57,16.52,40.75,49.97,390.88,35.32,102.65,56.4,8.27,46.12,89.6,102.9
63,467,34.54,94.45,58.68,8.2,45.37,85.8,107.39,79.44,45.34,26.08,24.55,143.86,100.44,16.38,40.4,49.63,375.12,35.67,101.71,56.2,8.1,46.23,90.06,101.48
64,467.09,34.69,94.6,58.85,8.18,44.95,86.3,107.26,79.3,44.97,26.14,24.63,144.47,99.41,16.37,40.96,49.53,365.01,36.35,102.05,56.22,8.18,46.32,90.51,104.79
65,462.06,34.87,94.15,58.8,8.13,44.22,85.21,106.69,79.16,44.94,25.87,24.49,142.75,98.49,16.2,39.6,49.05,347,35.99,102.81,55.74,8.1,45.39,90.86,105.42
66,451.49,34.93,94.07,58.8,8.17,45.05,85.12,106.01,79.3,44.58,25.95,24.66,142.81,97.9,16.27,39.98,49.29,345.47,36.55,102.55,55.66,8.05,45.41,91.07,105.05
67,452.21,34.83,93.65,58.05,8.2,44.75,84.61,105.51,79.06,44.08,25.89,24.94,142,97.33,16.19,38.5,48.83,350.85,36.4,102.78,55.81,8.17,45.49,91.09,106.49
68,448.6,34.75,93.75,57.39,8.17,44.85,85.51,104.33,78.93,43.68,25.72,25.17,141.35,96.15,16.22,37.64,48.62,347.05,36.1,103.69,55.63,8.4,45.58,92.49,106.85
69,451.35,34.58,93.43,56.55,8.22,49.54,86.9,104.59,78.21,43.04,25.85,25.21,140.62,96.04,16.22,38.14,48.21,344.45,36.48,103.32,55.31,8.31,46.16,93.73,106.5
70,449.22,34.69,93.73,56.7,8.18,49.7,87.07,104.61,78.02,43.26,25.84,25.09,140.93,95.27,16.3,37.79,48.55,330.86,36.73,102.95,55.62,8.26,45.77,94.32,105.71
71,450.2,34.3,93.07,55.87,8.17,48.79,85.47,102.01,76.25,43.23,25.46,24.87,139.3,94.26,15.72,36.56,48.06,322.08,36.38,101.85,55.1,8.22,45.22,94.17,104.96
72,435.3,34.75,93.82,56.21,8.06,49.09,85.51,102.66,77.5,42.84,25.61,25.01,140.05,94.93,16.46,37.7,48.5,317.16,35.89,102,55.55,8.53,45.07,94.49,104.55
73,421,35,93.39,55.88,8.08,47.85,84.86,100.76,74.72,42.74,25.13,24.93,139.14,94.75,16.25,36.56,47.75,326.13,35.56,101.26,56.19,8.34,46.1,92.97,104.1
74,421.3,35.36,94,56.72,8.1,47.3,84.92,101.11,78.01,43.31,25.1,25.02,140.62,95.36,16.63,37.89,48.26,343.72,35.76,101.06,58.75,8.51,45.57,92.47,104.21
75,427.2,35.37,94.3,56.95,8.13,47.55,84.99,100.36,76.52,42.97,25.33,24.94,140.15,96.37,16.58,39.49,48.45,338.07,35.58,101.38,58.11,8.36,46,92.43,104.66
76,421.76,35.78,94.3,56.58,8.13,47.39,85.22,100.52,76.2,43.21,25.07,25.14,140.15,94.9,16.26,38.75,48.59,337.51,35.7,101.11,59.47,8.34,46.52,93.33,104.93
77,430.26,36.05,95.22,57.76,8.25,48.26,85,102.24,77.31,43.38,25.53,25.48,143.33,97.16,16.61,38.9,49.56,324.05,35.75,100.68,58.55,8.32,47.03,93.15,105.2
